,Category,Message,category,my_texed
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",1,go jurong point crazi avail in bugi n great world la e buffet cine got amor wat
1,ham,Ok lar... Joking wif u oni...,1,ok lar joke wif u oni
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0,free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri question std txt rate t c appli 08452810075over18
3,ham,U dun say so early hor... U c already then say...,1,u dun say earli hor u c alreadi say
4,ham,"Nah I don't think he goes to usf, he lives around here though",1,nah i think goe usf live around though
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",0,freemsg hey darl been 3 week and word back i like fun up it still tb ok xxx std chg send £1.50 rcv
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,1,even brother not like speak they treat me like aid patent
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,1,as per request mell oru minnaminungint nurungu vettam ' been set callertun all caller press 9 copi your friend callertun
8,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0,winner as valu network custom have select receivea prize reward ! to claim call 09061701461 claim code kl341 valid 12 hour
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0,had mobil 11 month more u r entitl updat the latest colour mobil camera free call the mobil updat co free 08002986030
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",1,i gon na home soon i want talk thi stuff anymor tonight k i cri enough today
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0,"six chanc win cash from 100 pound txt csh11 send 87575 cost 6day , 16+ tsandc appli repli hl 4 info"
12,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0,urgent you won 1 week free membership our prize jackpot txt word claim no 81010 t c lccltd pobox 4403ldnw1a7rw18
